200,1000,1,34,0,51,238,0,0,0
190,-2000,0,0,0,7,2,5,2,2
210,1000,1,5,0,123,3990,165,2,3
190,-2000,0,0,1,209,154,5,0,0
190,1000,1,42,1,123,2618,6,1,0
190,-2000,0,0,0,123,390,30,0,0
170,1000,1,14,0,123,5,26,1,1
190,-2000,0,0,0,123,3458,1001,2,3
160,-2000,1,5,1,123,123,858,0,0
250,1000,0,0,0,123,123,858,2,3
230,-2000,1,253,1,1406,123,66,2,1
170,1000,0,0,0,442,11466,22,1,1
220,-2000,0,0,0,123,25935,91,2,1
210,-2000,0,0,0,4930,182,14,2,2
170,1000,1,10,0,123,462,30,0,1
250,1000,0,0,0,123,102,3,2,3
180,1000,1,2,0,180,1938,15,0,0
200,1000,1,2,1,123,123,15,1,1
170,1000,1,2,1,19,77,5,1,1
200,1000,1,11,0,123,25194,273,0,2
230,1000,1,22,0,123,123,15,0,0
200,-2000,0,0,0,638,266,22,1,1
180,1000,1,51,1,123,10010,2,0,1
310,1000,1,5,1,0,6,2,3,4
200,1000,0,0,0,123,238,2,2,3
200,1000,1,3,0,1265,2310,182,0,0
210,1000,1,3,0,1615,33,39,2,1
190,1000,1,51,1,123,770,30,2,1
220,-2000,0,0,1,4862,14,7,2,1
210,1000,0,0,0,6902,182,91,0,0
280,-2000,0,0,0,58,57,2,3,4
190,-2000,0,0,1,123,7,55,0,0
220,-2000,0,17,0,123,123,330,1,1
210,1000,0,0,0,123,57,10,2,3
200,-2000,1,5,1,124,123,7,0,0
200,-2000,0,0,0,140,7410,15,0,0
200,-2000,0,0,1,70,390,1001,2,3
200,-2000,0,0,0,123,39,273,2,1
200,-2000,1,5,0,2530,42,2,2,1
200,-2000,0,0,0,290,123,1001,2,3
180,-2000,1,51,1,2090,5005,7,0,2
230,-2000,1,95,0,4930,70,14,0,0
240,1000,1,3,0,620,51,15,0,0
180,-2000,0,0,1,34,114,910,0,0
